"""@title"",""Français"""
"""#00062"",""La taille doit être d'au moins 40 !"""
"""#00063"",""Certificat de grade A"""
"""#00064"", ""Essayez-le si vous avez 200 popularité."""
"""#00065"",""La taille doit être d'au moins 50 !"""
"""#00066"",""Certificat de piscine Kairo"""
"""#00067"",""Seulement des parcs aquatiques de premier ordre !"""
"""#00068"",""Taille d'au moins 80 !"""
"""#00069"",""Je veux voir le Golden Kairobot !"""
"""#00070"",""Piscines colorées : Classe B"""
"""#00071"",""Piscines orange uniquement."""
"""#00072"",""Je veux voir une piscine orange."""
"""#00073"", ""Ça doit être populaire."""
"""#00074"",""Défi Vignoble"""
"""#00075"",""Appel aux amateurs de raisins."""
"""#00076"",""Doit être de couleur raisin."""
"""#00077"",""Piscines violettes uniquement !"""
"""#00078"",""Je veux juste du raisin."""
"""#00079"",""Piscines colorées : Classe A"""
"""#00080"",""Bassins roses au parfum sucré recherchés."""
"""#00081"",""Je préfère les piscines roses."""
"""#00082"",""Les piscines roses sont fantastiques!"""
"""#00083"",""Un parfum sucré serait un plus."""
"""#00084"",""Défi Piscines Parfumées"""
"""#00085"",""À la recherche de piscines parfumées aux baies."""
"""#00086"",""J'aime le parfum des baies."""
"""#00087"",""Non au chlore, oui aux baies."""
"""#00088"",""Défi Café"""
"""#00089"",""Sent le café, à la piscine."""
"""#00090"",""Nécessite un arôme de café !"""
"""#00091"",""C'est l'arôme du café que je recherche."""
"""#00092"",""Utilisez de vrais grains de café !"""
"""#00093"",""Défi Tropical"""
"""#00094"",""Rendez votre piscine tropicale."""
"""#00095"",""Un palmier est un must!"""
"""#00096"",""Cette sensation tropicale!"""
"""#00097"",""J'aime les piscines aux couleurs de l'arc-en-ciel !"""
"""#00098"",""Défi Spa"""
"""#00099"",""À la recherche de piscines relaxantes et chaudes."""
"""#00100"",""Je veux de la chaleur."""
"""#00102"",""Que diriez-vous d'un parfum de fleur ? »"
"""#00103"",""Défi Spa avancé"""
"""#00104"",""Pour les piscines spa haut de gamme."""
"""#00106"",""Je voudrais une piscine blanche."""
"""#00107"",""Un parfum de pin serait sympa."""
"""#00108"",""Piscines fruitées : Classe B"""
"""#00109"",""Piscines sur le thème de la pomme."""
"""#00110"",""Des pommes, j'ai envie de pommes !"""
"""#00111"", ""Pommes-le, bébé!"""
"""#00112"", ""La taille compte aussi."""
"""#00113"",""Défi Citrus"""
"""#00114"",""Piscines sur le thème des agrumes."""
"""#00115"", ""Les citrons sont excellents."""
"""#00116"",""J'aime les pamplemousses."""
"""#00117"",""Doit sentir les agrumes."""
"""#00118"",""Piscines fruitées : Classe A"""
"""#00119"",""Piscines sur le thème du melon."""
"""#00120"",""Ne vous retenez pas avec les melons."""
"""#00121"", ""Assurez-vous qu'il a un parfum fruité."""
"""#00123"",""Groupes de flux : Classe B"""
"""#00124"",""Pour nager sur place dans les piscines."""
"""#00125"", ""A besoin d'un flux puissant."""
"""#00126"",""Doit être populaire."""
"""#00127"",""J'aimerais qu'il soit assez grand."""
"""#00128"", ""Groupes de flux : Classe A"""
"""#00129"",""Pas seulement des ruisseaux mais des vagues."""
"""#00130"",""Je veux voir de vraies vagues!"""
"""#00131"",""Taille 50 au moins !"""
"""#00132"", ""Il doit y avoir des diapositives."""
"""#00133"",""Installations ludiques : Classe C"""
"""#00134"",""Pour les parcs aquatiques amusants."""
"""#00135"",""2+ mini toboggans adjacents s'il vous plaît!"""
"""#00136"",""Une piscine à jets serait bien."""
"""#00137"",""Installations ludiques : Classe B"""
"""#00138"",""Pour des parcs aquatiques très divertissants."""
"""#00139"",""Vous avez un toboggan à trois voies ?"""
"""#00140"",""Je veux voir une douche fleurie."""
"""#00141"",""Une piscine à jets est un must."""
"""#00142"",""Installations ludiques : Classe A"""
"""#00143"",""Doit avoir de nombreuses attractions."""
"""#00144"",""Grand bain adjacent s'il vous plaît!"""
"""#00145"", ""Un Kairobot performant, c'est bien."""
"""#00146"",""Doit comporter un toboggan à trois voies."""
"""#00147"",""Piscines mignonnes : Classe C"""
"""#00148"",""Rendez votre parc aquatique adorable."""
"""#00149"",""Les piscines roses sont mignonnes."""
"""#00150"",""Une douche fleurie serait sympa."""
"""#00151"",""Popularité de 100 est un must."""
"""#00152"",""Piscines mignonnes : Classe B"""
"""#00153"",""Pour des parcs aquatiques remarquablement mignons."""
"""#00154"",""J'adore les piscines roses !"""
"""#00155"", ""Il a besoin d'un toboggan de corail."""
"""#00156"",""200 Popularité et tu es bon."""
"""#00157"",""Piscines mignonnes : Classe A"""
"""#00158"",""Atteignez le summum de la gentillesse."""
"""#00159"",""Rendez l'eau aux couleurs de l'arc-en-ciel !"""
"""#00160"",""Y a-t-il une pâtisserie dans le parc ?"""
"""#00161"",""Il doit avoir 250 Popularité."""
"""#00162"",""Limonade"""
"""#00163"",""Jus de pamplemousse"""
"""#00164"",""Jus de raisin"""
"""#00165"",""Jus de raisin blanc"""
"""#00166"",""Jus de pomme"""
"""#00167"",""Jus d'orange"""
"""#00168"",""Jus de pastèque"""
"""#00169"",""Jus de fruits du dragon"""
"""#00170"",""Jus de Papaye"""
"""#00171"",""Jus de banane"""
"""#00172"",""Jus d'ananas"""
"""#00173"",""Jus de myrtilles"""
"""#00174"",""Jus de Framboise"""
"""#00175"",""Jus de pêche"""
"""#00176"",""Jus de Kiwi"""
"""#00177"",""Eau de noix de coco"""
"""#00178"",""Soda au raisin"""
"""#00179"",""Soda au raisin blanc"""
"""#00180"",""Pomme Soda"""
"""#00181"",""Soda à l'orange"""
"""#00182"",""Soda à la pastèque"""
"""#00183"",""Soda au melon"""
"""#00184"",""Lait à la fraise"""
"""#00185"",""Soda aux fruits du dragon"""
"""#00186"",""Lait de banane"""
"""#00187"",""Jus de fruits mélangés"""
"""#00188"",""Jus de fruits tropicaux"""
"""#00189"",""=#00162"""
"""#00190"",""Café en conserve"""
"""#00191"",""Smoothie Vert"""
"""#00192"",""Jus de Tomate"""
"""#00193"",""Crème Soda"""
"""#00194"",""Affogato"""
"""#00195"",""Soda Popsicle"""
"""#00196"",""Sucette glacée à la pastèque"""
"""#00197"",""Cola Popsicle"""
"""#00198"",""Crème glacée à la vanille"""
"""#00199"",""Crème glacée au chocolat"""
"""#00200"",""Glace Chocolat Menthe"""
"""#00201"",""Crème glacée à la fraise"""
"""#00202"",""Crème glacée au matcha"""
"""#00203"",""Triple Glace"""
"""#00204"",""Crème glacée molle"""
"""#00205"",""Café Soft-Serve"""
"""#00206"",""Crêpe"""
"""#00207"",""Crêpe Fruitée"""
"""#00208"",""Crêpe choco"""
"""#00209"",""Crêpe Matcha Noisette"""
"""#00210"",""Crêpe aux œufs"""
"""#00211"",""Crêpe au poulet"""
"""#00212"",""Crêpe végétarienne"""
"""#00213"",""Crêpe Mayo Thon"""
"""#00214"",""Crêpe de luxe"""
"""#00215"",""Donut"""
"""#00216"",""Donut au chocolat"""
"""#00217"",""Beigne aux fraises"""
"""#00218"",""Beignets au lait"""
"""#00219"",""Donut Matcha"""
"""#00220"",""Churros"""
"""#00221"",""Pain aux noisettes"""
"""#00222"",""Pain au melon"""
"""#00223"",""Croissant"""
"""#00224"",""Pain au Chocolat"""
"""#00225"",""Sandwich"""
"""#00226"",""Bun au curry"""
"""#00227"",""Croque Madame"""
"""#00228"",""Chignon Ku-max"""
"""#00229"",""Kairo Bun"""
"""#00230"",""Taco"""
"""#00231"",""Hamburger"""
"""#00232"",""Cheeseburger"""
"""#00233"",""Chien de maïs"""
"""#00234"",""Francfort"""
"""#00235"",""Poulet Frit"""
"""#00236"",""Petit Porc Vapeur"""
"""#00237"",""Pain sucré à la vapeur"""
"""#00238"",""Pain à pizza à la vapeur"""
"""#00239"",""Barbecue Kebab"""
"""#00240"",""Rôti avec os"""
"""#00241"",""Calamars frits"""
"""#00242"", ""Maïs en épi"""
"""#00243"",""Kebab de cuisse de poulet"""
"""#00244"",""Viande & Oignon Kebab"""
"""#00245"",""Kebab aux boulettes de viande"""
"""#00246"",""Boule de riz"""
"""#00247"",""Boule de riz au saumon"""
"""#00248"",""Boulet De Riz Frit"""
"""#00249"",""Boule de riz aux noisettes"""
"""#00250"",""Toasts brûlés"""
"""#00251"",""Lessive"""
"""#00252"",""Cône de neige aux fraises"""
"""#00253"",""Cône de neige bleu Hawaï"""
"""#00254"",""Cône de neige au melon"""
"""#00255"",""Cône de neige au citron"""
"""#00256"",""Cône de neige orange"""
"""#00257"",""Cône de neige au miel"""
"""#00258"",""Cône Neige Raisin"""
"""#00259"",""Cône de neige Stwbrymilk"""
"""#00260"",""Cône de neige Matcha"""
"""#00261"",""Cône de neige arc-en-ciel"""
"""#00262"",""Sundae aux fraises"""
"""#00263"",""Sundae oriental"""
"""#00264"",""Sundae au chocolat"""
"""#00265"",""Gâteau sablé"""
"""#00266"",""Gâteau au fromage"""
"""#00267"",""Gâteau au chocolat"""
"""#00268"",""Crème de marrons"""
"""#00269"",""Pop-corn"""
"""#00270"",""Maïs soufflé au caramel"""
"""#00271"",""Maïs soufflé aux fraises"""
"""#00272"",""Maïs soufflé matcha"""
"""#00273"",""Salade de chou"""
"""#00274"",""Salade César"""
"""#00275"",""Salade de fruits"""
"""#00276"",""Curry & Riz"""
"""#00277"",""Curry de fruits de mer"""
"""#00278"",""Boeuf Curry"""
"""#00279"",""Riz Boeuf & Légumes"""
"""#00280"",""Frites"""
"""#00281"",""Bifteck"""
"""#00282"",""Margherita Pizza"""
"""#00283"",""Pizza aux fruits de mer"""
"""#00284"",""Pizza Tropicana"""
"""#00285"",""Beignets de poulpe"""
"""#00286"",""Tarte à la viande"""
"""#00287"",""Nouilles Frites"""
"""#00288"",""Nouilles Frites Allégées"""
"""#00289"",""Riz Sauté"""
"""#00290"",""Nouilles épaisses"""
"""#00291"",""Nouilles au curry"""
"""#00292"",""Nouilles bouillies"""
"""#00293"",""Pot chaud"""
"""#00294"",""Tendon De Boeuf"""
"""#00295"",""Rouleaux de choux"""
"""#00296"",""Ramen au soja"""
"""#00297"",""Shio Ramen"""
"""#00298"",""Squid Sushi"""
"""#00299"",""Sushi de poulpe"""
"""#00300"",""Sushi au saumon"""
"""#00301"",""Sushi au thon"""
"""#00302"",""Ensemble à sushis"""
"""#00303"",""Riz brûlé"""
"""#00304"",""Nouilles dégoûtantes"""
"""#00305"",""Épluchures de légumes"""
"""#00306"",""=#00162"""
"""#00307"",""=#00163"""
"""#00308"",""=#00164"""
"""#00309"",""=#00165"""
"""#00310"",""=#00166"""
"""#00311"",""=#00167"""
"""#00312"",""=#00168"""
"""#00313"",""=#00169"""
"""#00314"",""=#00170"""
"""#00315"",""=#00171"""
"""#00316"",""=#00172"""
"""#00317"",""=#00173"""
"""#00318"",""=#00174"""
"""#00319"",""=#00175"""
"""#00320"",""=#00176"""
"""#00321"",""=#00177"""
"""#00322"",""=#00178"""
"""#00323"",""=#00179"""
"""#00324"",""=#00180"""
"""#00325"",""=#00181"""
"""#00326"",""=#00182"""
"""#00327"",""=#00183"""
"""#00328"",""=#00184"""
"""#00329"",""=#00185"""
"""#00330"",""=#00186"""
"""#00331"",""=#00187"""
"""#00332"",""=#00188"""
"""#00333"",""=#00162"""
"""#00334"",""=#00190"""
"""#00335"",""=#00191"""
"""#00336"",""=#00192"""
"""#00337"",""=#00193"""
"""#00338"",""=#00194"""
"""#00339"",""=#00195"""
"""#00340"",""=#00196"""
"""#00341"",""=#00197"""
"""#00342"",""=#00198"""
"""#00343"",""=#00199"""
"""#00344"",""=#00200"""
"""#00345"",""=#00201"""
"""#00346"",""=#00202"""
"""#00347"",""=#00203"""
"""#00348"",""=#00204"""
"""#00349"",""=#00205"""
"""#00350"",""=#00206"""
"""#00351"",""=#00207"""
"""#00352"",""=#00208"""
"""#00353"",""=#00209"""
"""#00354"",""=#00210"""
"""#00355"",""=#00211"""
"""#00356"",""=#00212"""
"""#00357"",""=#00213"""
"""#00358"",""=#00214"""
"""#00359"",""=#00215"""
"""#00360"",""=#00216"""
"""#00361"",""=#00217"""
"""#00362"",""=#00218"""
"""#00363"",""=#00219"""
"""#00364"",""=#00220"""
"""#00365"",""=#00221"""
"""#00366"",""=#00222"""
"""#00367"",""=#00223"""
"""#00368"",""=#00224"""
"""#00369"",""=#00225"""
"""#00370"",""=#00226"""
"""#00371"",""=#00227"""
"""#00372"",""=#00228"""
"""#00373"",""=#00229"""
"""#00374"",""=#00230"""
"""#00375"",""=#00231"""
"""#00376"",""=#00232"""
"""#00377"",""=#00233"""
"""#00378"",""=#00234"""
"""#00379"",""=#00235"""
"""#00380"",""=#00236"""
"""#00381"",""=#00237"""
"""#00382"",""=#00238"""
"""#00383"",""=#00239"""
"""#00384"",""=#00240"""
"""#00385"",""=#00241"""
"""#00386"",""=#00242"""
"""#00387"",""=#00243"""
"""#00388"",""=#00244"""
"""#00389"",""=#00245"""
"""#00390"",""=#00246"""
"""#00391"",""=#00247"""
"""#00392"",""=#00248"""
"""#00393"",""=#00249"""
"""#00394"",""=#00250"""
"""#00395"",""=#00251"""
"""#00396"",""=#00252"""
"""#00397"",""=#00253"""
"""#00398"",""=#00254"""
"""#00399"",""=#00255"""
"""#00400"",""=#00256"""
"""#00401"",""=#00257"""
"""#00402"",""=#00258"""
"""#00403"",""=#00259"""
"""#00404"",""=#00260"""
"""#00405"",""=#00261"""
"""#00406"",""=#00262"""
"""#00407"",""=#00263"""
"""#00408"",""=#00264"""
"""#00409"",""=#00265"""
"""#00410"",""=#00266"""
"""#00411"",""=#00267"""
"""#00412"",""=#00268"""
"""#00413"",""=#00269"""
"""#00414"",""=#00270"""
"""#00415"",""=#00271"""
"""#00416"",""=#00272"""
"""#00417"",""=#00273"""
"""#00418"",""=#00274"""
"""#00419"",""=#00275"""
"""#00420"",""=#00276"""
"""#00421"",""=#00277"""
"""#00422"",""=#00278"""
"""#00423"",""=#00279"""
"""#00424"",""=#00280"""
"""#00425"",""=#00281"""
"""#00426"",""=#00282"""
"""#00427"",""=#00283"""
"""#00428"",""=#00284"""
"""#00429"",""=#00285"""
"""#00430"",""=#00286"""
"""#00431"",""=#00287"""
"""#00432"",""=#00288"""
"""#00433"",""=#00289"""
"""#00434"",""=#00290"""
"""#00435"",""=#00291"""
"""#00436"",""=#00292"""
"""#00437"",""=#00293"""
"""#00438"",""=#00294"""
"""#00439"",""=#00295"""
"""#00440"",""=#00296"""
"""#00441"",""=#00297"""
"""#00442"",""=#00298"""
"""#00443"",""=#00299"""
"""#00444"",""=#00300"""
"""#00445"",""=#00301"""
"""#00446"",""=#00302"""
"""#00447"",""=#00303"""
"""#00448"",""=#00304"""
"""#00449"",""=#00305"""
"""#00450"",""tester"""
"""#00451"",""ED_1"""
"""#00452"",""=MID(#00451,1,-1)&'2'"""
"""#00453"",""<co=0064ff>Piscine extérieure"""
"""#00455"",""=#00450"""
"""#00456"",""=#00450"""
"""#00457"",""=#00450"""
"""#00458"",""=#00450"""
"""#00459"",""xxx"""
"""#00460"",""<0><br>a été étendu !"""
"""#00461"",""=#00459"""
"""#00462"",""A répondu aux exigences du parc <co=0070c0>1 étoile</co> !"""
"« #00463 "","" Vous avez répondu aux exigences du parc <co=0070c0>2 étoiles</co> !"""
"""#00464"",""Les exigences du parc <co=0070c0>3 étoiles</co> ont été satisfaites !"""
"""#00465"",""A répondu aux exigences du parc <co=0070c0>4 étoiles</co> !"""
"""#00466"",""A répondu aux exigences du parc <co=0070c0>5 étoiles</co> !"""
"""#00467"",""Vous avez réussi le<br><co=0070c0><0></co>!"""
"""#00468"",""Vous avez échoué au<br><co=0070c0><0></co>."""
"""#00469"",""Démarrer le<br><co=0070c0><0></co>!"""
"""#00470"",""Un <co=0070c0>toboggan aquatique </co>a été construit<br><0>!"""
"""#00471"",""Réussir le test de certification a amélioré la réputation de votre parc !"""
"""#00472"",""Le classement a amélioré la réputation de votre parc !"""
"""#00473"",""Vous avez <co=0070c0>1000</co> visiteurs !"""
"""#00474"",""Vous avez <co=0070c0>10 000</co> visiteurs !"""
"""#00475"",""Vous avez <co=0070c0>100 000</co> visiteurs !"""
"""#00476"",""Vous vous êtes classé parmi les <co=0070c0>100</co> premiers !"""
"""#00477"",""Vous vous êtes classé dans le top <co=0070c0>10</co> !"""
"""#00478"",""Vous avez <co=0070c0>dépassé</co> le classement de la poule !"""
"""#00479"",""face_m000"""
"""#00480"",""=MID(#00479,1,-3)&'001'"""
"""#00481"",""=MID(#00479,1,-3)&'002'"""
"""#00482"",""=MID(#00479,1,-3)&'003'"""
"""#00483"",""=MID(#00479,1,-3)&'004'"""
"""#00484"",""=MID(#00479,1,-3)&'005'"""
"""#00485"",""=MID(#00479,1,-3)&'100'"""
"""#00486"",""=MID(#00479,1,-3)&'101'"""
"""#00487"",""=MID(#00479,1,-3)&'102'"""
"""#00488"",""=MID(#00479,1,-3)&'103'"""
"""#00489"",""=MID(#00479,1,-3)&'104'"""
"""#00490"",""=MID(#00479,1,-3)&'105'"""
"""#00491"",""=MID(#00479,1,-3)&'106'"""
"""#00492"",""=MID(#00479,1,-3)&'107'"""
"""#00493"",""=MID(#00479,1,-3)&'108'"""
"""#00494"",""=MID(#00479,1,-3)&'109'"""
"""#00495"",""=MID(#00479,1,-3)&'110'"""
"""#00496"",""=MID(#00479,1,-3)&'200'"""
"""#00497"",""=MID(#00479,1,-3)&'201'"""
"""#00498"",""=MID(#00479,1,-3)&'202'"""
"""#00499"",""=MID(#00479,1,-3)&'203'"""
"""#00500"",""=MID(#00479,1,-3)&'204'"""
"""#00501"",""=MID(#00479,1,-3)&'205'"""
"""#00502"",""=MID(#00479,1,-3)&'206'"""
"""#00503"",""=MID(#00479,1,-3)&'207'"""
"""#00504"",""=MID(#00479,1,-3)&'208'"""
"""#00505"",""=MID(#00479,1,-3)&'209'"""
"""#00506"",""=MID(#00479,1,-3)&'300'"""
"""#00507"",""=MID(#00479,1,-3)&'301'"""
"""#00508"",""=MID(#00479,1,-3)&'302'"""
"""#00509"",""=MID(#00479,1,-3)&'303'"""
"""#00510"",""=MID(#00479,1,-3)&'304'"""
"""#00511"",""visage_w000"""
"""#00512"",""=MID(#00511,1,-3)&'001'"""
"""#00513"",""=MID(#00511,1,-3)&'002'"""
"""#00514"",""=MID(#00511,1,-3)&'003'"""
"""#00515"",""=MID(#00511,1,-3)&'004'"""
"""#00516"",""=MID(#00511,1,-3)&'100'"""
"""#00517"",""=MID(#00511,1,-3)&'101'"""
"""#00518"",""=MID(#00511,1,-3)&'102'"""
"""#00519"",""=MID(#00511,1,-3)&'103'"""
"""#00520"",""=MID(#00511,1,-3)&'104'"""
"""#00521"",""=MID(#00511,1,-3)&'105'"""
"""#00522"",""=MID(#00511,1,-3)&'106'"""
"""#00523"",""=MID(#00511,1,-3)&'107'"""
"""#00524"",""=MID(#00511,1,-3)&'108'"""
"""#00525"",""=MID(#00511,1,-3)&'109'"""
"""#00526"",""=MID(#00511,1,-3)&'110'"""
"""#00527"",""=MID(#00511,1,-3)&'200'"""
"""#00528"",""=MID(#00511,1,-3)&'201'"""
"""#00529"",""=MID(#00511,1,-3)&'202'"""
"""#00530"",""=MID(#00511,1,-3)&'203'"""
"""#00531"",""=MID(#00511,1,-3)&'204'"""
"""#00532"",""=MID(#00511,1,-3)&'205'"""
"""#00533"",""=MID(#00511,1,-3)&'206'"""
"""#00534"",""=MID(#00511,1,-3)&'207'"""
"""#00535"",""=MID(#00511,1,-3)&'208'"""
"""#00536"",""=MID(#00511,1,-3)&'209'"""
"""#00537"",""=MID(#00511,1,-3)&'300'"""
"""#00538"",""=MID(#00511,1,-3)&'301'"""
"""#00539"",""=MID(#00511,1,-3)&'302'"""
"""#00540"",""=MID(#00511,1,-3)&'303'"""
"""#00541"",""=MID(#00511,1,-3)&'304'"""
"""#00542"",""face_k000"""
"""#00543"",""=MID(#00542,1,-3)&'001'"""
"""#00544"",""=MID(#00542,1,-3)&'002'"""
"""#00545"",""=MID(#00542,1,-3)&'003'"""
"""#00546"",""=MID(#00542,1,-3)&'004'"""
"""#00547"",""=MID(#00542,1,-3)&'005'"""
"""#00548"",""=MID(#00542,1,-3)&'006'"""
"""#00549"",""=MID(#00542,1,-3)&'007'"""
"""#00550"",""Rose"""
"""#00551"",""Se démarque."""
"""#00552"",""Bleu"""
"""#00553"",""Une simple chambre à air."""
"""#00554"",""Orange"""
"""#00555"",""Un choix populaire."""
"""#00556"",""Rouge Rayé"""
"""#00557"",""Style très courant."""
"""#00558"",""=#00215"""
"""#00559"",""Vous donne des fringales."""
"""#00560"",""Canard"""
"""#00561"",""Assez mignon."""
"""#00562"",""Flamant rose"""
"""#00563"",""Fabuleux."""
"""#00564"",""Oreilles d'ours"""
"""#00565"",""La meilleure partie de n'importe quel ours."""
"""#00566"",""Poney"""
"""#00567"",""Étourdissement !"""
"""#00568"",""Orque de la mer"""
"""#00569"",""Flotteur orque bleu cobalt."""
"""#00570"",""Rivière Orque"""
"""#00571"",""Pas vraiment une chose."""
"""#00572"",""Orque rêveuse"""
"""#00573"",""Pourquoi les orques ne devraient-elles pas être roses?"""
"""#00574"",""Banane"""
"""#00575"",""Un incontournable."""
"""#00576"",""Pastèque"""
"""#00577"",""Un favori de l'été."""
"""#00578"",""Pizza"""
"""#00579"",""Qui n'aime pas la pizza?"""
"""#00580"",""Coquillage"""
"""#00581"",""Sentez-vous comme Vénus dessus."""
"""#00582"",""Kairobot"""
"""#00583"",""Laissez Kairobot vous porter doucement."""
"""#00584"",""Kayak"""
"""#00585"", ""Pagayer pour une aventure."""
"""#00586"",""Hamac"""
"""#00587"", ""Très confortable. Ne vous endormez pas."""
"""#00588"",""Voyageur du temps"""
"""#00589"",""On dirait un peu une machine à remonter le temps."""
"""#00590"",""Flotteur de natation"""
"""#00591"",""Bon pour apprendre à nager."""
"""#00592"",""Enfant"""
"""#00593"",""Je veux une grande piscine pour nager!"""
"""#00594"",""Je veux une plus grande piscine!"""
"""#00595"",""Fais-moi une piscine géante, s'il te plaît!"""
"""#00596"",""Maître des Arts"""
"""#00597"",""Les piscines de couleur orange sont dans mon allée."""
"""#00598"", ""J'ai envie d'un popsicle."""
"""#00599"", ""Je voudrais une glace au chocolat à la menthe."""
"""#00600"",""Illustrateur"""
"""#00601"", ""La natation me donne faim... de crêpes!"""
"""#00602"", ""Je veux flotter doucement dans une chambre à air stylée !"""
"""#00603"",""Le sauna serait vraiment bien après la baignade !"""
"""#00604"",""Mort"""
"""#00605"", ""Tu as du cola ?"""
"""#00606"",""Les piscines vertes sont cool, elles sont comme des marécages!"""
"""#00607"",""Les toboggans normaux huent ! Je veux un toboggan !"""
"""#00608"",""Femme au foyer"""
"""#00609"",""Assez de corvées ! Je veux me détendre au bord de la piscine."""
"""#00610"",""Je rêve d'un toboggan qui ressemble à un château!"""
"""#00611"",""Je veux me rafraîchir dans un igloo!"""
"""#00612"",""Maman hélicoptère"""
"""#00613"",""Votre piscine a besoin de plus de verdure autour d'elle."""
"""#00614"",""Vous avez 1000 visiteurs !"""
"""#00615"",""Femme riche"""
"""#00616"",""Je préfère les piscines ni trop chaudes, ni trop froides."""
"""#00617"",""Les parasols jaunes sont mes préférés."""
"""#00618"", ""J'aimerais beaucoup une chambre à air duckie."""
"""#00619"",""Ping-Ponger"""
"""#00620"",""Je veux aller nager dans une piscine rouge rubis!"""
"""#00621"", ""J'aimerais avoir une chambre à air en forme de canard."""
"""#00622"",""Les piscines avec des tuiles de sable de plage sont les meilleures."""
"""#00623"",""Gardien de lapins"""
"""#00624"", ""Je déteste le chlore. Faites une piscine avec un parfum fruité!"""
"""#00625"",""J'aime les piscines avec des tuiles jaunes."""
"""#00626"",""S'il vous plaît, procurez-moi une chambre à air en forme de beignet !"""
"""#00627"",""Conseiller étudiant"""
"""#00628"",""J'ai oublié mon maillot de bain d'uniforme scolaire!"""
"""#00629"",""Je veux nager dans une piscine qui ressemble à une plage tropicale!"""
"""#00630"",""Je veux essayer un toboggan aquatique à 3 niveaux !"""
"""#00631"",""Doctorant"""
"""#00632"", ""Tellement endormi... J'ai besoin de cola pour me secouer!"""
"""#00633"", ""Je suis à moitié endormi... Vous avez une piscine qui me rendrait bien éveillé ?"""
"""#00634"",""Je voudrais faire une sieste sur un canapé en vinyle bleu..."""
"""#00635"",""Lycéen"""
"""#00636"", ""Je suis d'humeur pour un chien de maïs!"""
"""#00637"", ""Vous avez des chaises en bois blanches dans votre parc?"""
"""#00638"",""Baseball Kid"""
"""#00639"",""Certains détestent l'eau froide mais je l'adore !"""
