"@title", "Français"
"# 00067", "Seulement des parcs aquatiques de premier ordre!"
"# 00068", "Taille d'au moins 80!"
"# 00069", "Je veux voir le Golden Kairobot!"
"# 00070", "Piscines colorées: Classe B"
"# 00071", "Piscines orange uniquement."
"# 00072", "Je veux voir une piscine orange."
"# 00073", "Il doit être populaire."
"# 00074", "Vineyard Challenge"
"# 00075", "Appel aux amateurs de raisins."
"# 00076", "Doit être de couleur raisin."
"# 00077", "Piscines violettes uniquement!"
"# 00078", "Je veux juste du raisin."
"# 00079", "Piscines colorées: Classe A"
"# 00080", "Piscines roses parfumées sucrées recherchées."
"# 00081", "Je préfère les piscines roses."
"# 00082", "Les piscines roses sont fantastiques!"
"# 00083", "Un doux parfum serait un plus."
"# 00084", "Défi piscines parfumées"
"# 00085", "A la recherche de piscines parfumées aux fruits rouges."
"# 00086", "J'adore le parfum des baies."
"# 00087", "Non au chlore, oui aux baies."
"# 00088", "Coffee Challenge"
"# 00089", "Sentez le café, à la piscine."
"# 00090", "Doit avoir un arôme de café!"
"# 00091", "L'arôme du café est ce que je recherche."
"# 00092", "Utilisez de vrais grains de café!"
"# 00093", "Défi tropical"
"# 00094", "Rendez votre piscine tropicale."
"# 00095", "Un palmier est un must!"
"# 00096", "Cette sensation tropicale!"
"# 00097", "J'aime les piscines aux couleurs de l'arc-en-ciel!"
"# 00098", "Spa Challenge"
"# 00099", "A la recherche de piscines chaudes et relaxantes."
"# 00100", "Je veux de la chaleur."
"# 00102", "Que diriez-vous d'un parfum de fleur?"
«# 00103», «Advanced Spa Challenge»
"# 00104", "Pour les piscines spa haut de gamme."
"# 00106", "J'aimerais une piscine blanche."
"# 00107", "Un parfum de pin serait bien."
"# 00108", "Piscines fruitées: Classe B"
"# 00109", "Piscines avec un thème de pomme."
"# 00110", "Pommes, je désire des pommes!"
"# 00111", "Apple it up, baby!"
"# 00112", "La taille compte aussi."
"# 00113", "Citrus Challenge"
"# 00114", "Piscines avec un thème d'agrumes."
"# 00115", "Les citrons sont super."
"# 00116", "J'aime les pamplemousses."
"# 00117", "Doit sentir les agrumes."
"# 00118", "Piscines fruitées: Classe A"
"# 00119", "Piscines avec un thème de melon."
"# 00120", "Ne vous retenez pas avec les melons."
"# 00121", "Assurez-vous qu'il a un parfum fruité."
"# 00123", "Pools de flux: Classe B"
"# 00124", "Pour nager sur place dans les piscines."
"# 00125", "Nécessite un flux puissant."
"# 00126", "Doit être populaire."
"#00127", "Je voudrais que ce soit assez grand."
"#00128", "Pools de flux: Classe A"
"#00129", "Pas seulement des flux mais des vagues."
"#00130", "Je veux voir de vraies vagues!"
"#00131", "Taille 50 au moins!"
"#00132", "Il doit y avoir des diapositives."
"#00133", "Installations amusantes: Classe C"
"#00134", "Pour des parcs aquatiques amusants."
"#00135", "2+ mini-diapositives adjacentes s'il vous plaît!"
"#00136", "Une piscine à jets serait bien."
"#00137", "Installations amusantes: Classe B"
"#00138", "Pour les parcs aquatiques très divertissants."
"#00139", "Vous avez un toboggan à trois voies?"
"#00140", "Je veux voir une douche fleurie."
"#00141", "Une piscine à jets est un plus."
"# 00142", "Installations amusantes: Classe A"
"# 00143", "Doit avoir de nombreuses attractions."
"# 00144", "Grand trempeur adjacent s'il vous plaît!"
"# 00145", "Un Kairobot performant est bien."
"# 00146", "Doit comporter un toboggan à trois voies."
"# 00147", "Piscines Cutesy: Classe C"
"# 00148", "Rendez votre parc aquatique adorable."
"# 00149", "Les piscines roses sont mignonnes."
"# 00150", "Une douche fleurie serait bien."
"# 00151", "Une popularité de 100 est un must."
"# 00152", "Piscines Cutesy: Classe B"
"# 00153", "Pour des parcs aquatiques remarquablement mignons."
"# 00154", "J'adore les piscines roses!"
"# 00155", "Il faut une glissade de corail."
"# 00156", "200 Popularité et vous êtes bon."
"# 00157", "Piscines Cutesy: Classe A"
"# 00158", "Atteignez le summum de la gentillesse."
"# 00159", "Faites de l'eau une couleur arc-en-ciel!"
"# 00160", "Y a-t-il une boulangerie dans le parc?"
"# 00161", "Il doit avoir 250 Popularité."
"# 00162", "Limonade"
"# 00163", "Jus de pamplemousse"
"# 00164", "Jus de raisin"
"# 00165", "Jus de raisin blanc"
"# 00166", "Jus de pomme"
"# 00167", "Jus d'orange"
"# 00168", "Jus de pastèque"
"# 00169", "Jus de fruit du dragon"
"# 00170", "Jus de papaye"
"# 00171", "Jus de banane"
"# 00172", "Jus d'ananas"
"# 00173", "Jus de myrtille"
"# 00174", "Jus de framboise"
"# 00175", "Jus de pêche"
"# 00176", "Jus de kiwi"
"# 00177", "Eau de coco"
"# 00178", "Soda au raisin"
"# 00179", "Soda au raisin blanc"
"# 00180", "Apple Soda"
"# 00181", "Soda à l'orange"
"# 00182", "Soda pastèque"
"# 00183", "Melon Soda"
"# 00184", "Lait à la fraise"
"# 00185", "Soda aux fruits du dragon"
"# 00186", "Lait de banane"
"# 00187", "Jus de fruits mélangés"
"# 00188", "Jus de fruits tropicaux"
"# 00189", "= # 00162"
"# 00190", "Café en conserve"
"# 00191", "Smoothie vert"
"# 00192", "Jus de tomate"
"# 00193", "Soda à la crème"
"# 00194", "Affogato"
"# 00195", "Soda Popsicle"
"# 00196", "Glace à la pastèque"
"# 00197", "Cola Popsicle"
"# 00198", "Glace à la vanille"
"# 00199", "Glace au chocolat"
«# 00200», «Glace Choco Mint»
"# 00201", "Glace à la fraise"
"# 00202", "Crème glacée au matcha"
"# 00203", "Triple glace"
«# 00204», «Crème glacée molle»
"# 00205", "Café à café doux"
"# 00206", "Crêpe"
"# 00207", "Crêpe fruitée"
"# 00208", "Crêpe Choco"
"# 00209", "Crêpe Matcha Noisette"
"# 00210", "Crêpe aux œufs"
"# 00211", "Crêpe au poulet"
"# 00212", "Crêpe végétarienne"
"# 00213", "Crêpe au thon et mayo"
"# 00214", "Crêpe de luxe"
"# 00215", "Donut"
"# 00216", "Donut au chocolat"
"# 00217", "Beignet aux fraises"
"# 00218", "Donut au lait"
"# 00219", "Donut au matcha"
"# 00220", "Churros"
"# 00221", "Pain aux noisettes"
"# 00222", "Pain au melon"
"# 00223", "Croissant"
"# 00224", "Pain au Chocolat"
"# 00225", "Sandwich"
"# 00226", "Curry Bun"
"# 00227", "Croque Madame"
"# 00228", "Ku-max Bun"
"# 00229", "Kairo Bun"
"# 00230", "Taco"
"# 00231", "Hamburger"
"# 00232", "Cheeseburger"
"# 00233", "Corn Dog"
"# 00234", "Frankfurter"
"# 00235", "Poulet frit"
«# 00236», «Pain de porc à la vapeur»
"# 00237", "Pain sucré cuit à la vapeur"
"# 00238", "Pain de pizza à la vapeur"
«# 00239», «Kebab barbecue»
"# 00240", "Rôti avec os"
"# 00241", "Calmars frits"
"# 00242", "Maïs en épi"
"# 00243", "Kebab de cuisse de poulet"
"# 00244", "Kebab de viande et d'oignon"
"# 00245", "Kebab aux boulettes de viande"
"# 00246", "Boule de riz"
"# 00247", "Boule de riz au saumon"
"# 00248", "Boule de riz frit"
"# 00249", "Boule de riz aux noisettes"
"# 00250", "Pain grillé brûlé"
"# 00251", "Lye"
"# 00252", "Cône de neige aux fraises"
"# 00253", "Blue Hawaii Snow Cone"
"# 00254", "Melon Snow Cone"
"# 00255", "Cône de neige au citron"
"# 00256", "Cône de neige orange"
"# 00257", "Honey Snow Cone"
"# 00258", "Cône de neige de raisin"
"# 00259", "Cône de neige Stwbrymilk"
"# 00260", "Cône de neige Matcha"
"# 00261", "Rainbow Snow Cone"
"# 00262", "Sundae aux fraises"
"# 00263", "Sundae oriental"
"# 00264", "Sundae au chocolat"
"# 00265", "Shortcake"
"# 00266", "Cheesecake"
"# 00267", "Gâteau au chocolat"
"# 00268", "Crème de Châtaigne"
"# 00269", "Maïs soufflé"
"# 00270", "Maïs soufflé au caramel"
«# 00271», «Maïs soufflé aux fraises»
"# 00272", "Matcha Popcorn"
"# 00273", "Salade de chou"
"# 00274", "Salade César"
"# 00275", "Salade de fruits"
"# 00276", "Curry et riz"
"# 00277", "Curry de fruits de mer"
"# 00278", "Boeuf au curry"
"# 00279", "Riz au bœuf et aux légumes"
"# 00280", "Frites"
"# 00281", "Steak de boeuf"
«# 00282», «Pizza Margherita»
"# 00283", "Pizza aux fruits de mer"
"# 00284", "Tropicana Pizza"
"# 00285", "Beignets de poulpe"
"# 00286", "Tarte à la viande"
"# 00287", "Nouilles frites"
"# 00288", "Fried Noodles Lite"
"# 00289", "Sauté de riz"
"# 00290", "Nouilles épaisses"
"# 00291", "Nouilles au curry"
"# 00292", "Nouilles bouillies"
"# 00293", "Hot Pot"
"# 00294", "Tendon de boeuf"
"# 00295", "Rouleaux de chou"
"# 00296", "Soy Ramen"
"# 00297", "Shio Ramen"
"# 00298", "Squid Sushi"
"# 00299", "Poulpe Sushi"
"# 00300", "Sushi au saumon"
"# 00301", "Sushi au thon"
"# 00302", "Ensemble de sushi"
"# 00303", "Riz brûlé"
"# 00304", "Nouilles Yucky"
"# 00305", "Peelings végétariens"
"# 00306", "= # 00162"
"# 00307", "= # 00163"
"# 00308", "= # 00164"
"# 00309", "= # 00165"
"# 00310", "= # 00166"
"# 00311", "= # 00167"
"# 00312", "= # 00168"
"# 00313", "= # 00169"
"# 00314", "= # 00170"
"# 00315", "= # 00171"
"# 00316", "= # 00172"
"# 00317", "= # 00173"
"# 00318", "= # 00174"
"# 00319", "= # 00175"
"# 00320", "= # 00176"
"# 00321", "= # 00177"
"# 00322", "= # 00178"
"# 00323", "= # 00179"
"# 00324", "= # 00180"
"# 00325", "= # 00181"
"# 00326", "= # 00182"
"# 00327", "= # 00183"
"# 00328", "= # 00184"
"# 00329", "= # 00185"
"# 00330", "= # 00186"
"# 00331", "= # 00187"
"# 00332", "= # 00188"
"# 00333", "= # 00162"
"# 00334", "= # 00190"
"# 00335", "= # 00191"
"# 00336", "= # 00192"
"# 00337", "= # 00193
"#00338","=#00194"
"#00339","=#00195"
"#00340","=#00196"
"#00341","=#00197"
"#00342","=#00198"
"#00343","=#00199"
"#00344","=#00200"
"#00345","=#00201"
"#00346","=#00202"
"#00347","=#00203"
"#00348","=#00204"
"#00349","=#00205"
"#00350","=#00206"
"#00351","=#00207"
"#00352","=#00208"
"#00353","=#00209"
"#00354","=#00210"
"#00355","=#00211"
"#00356","=#00212"
"#00357","=#00213"
"#00358","=#00214"
"#00359","=#00215"
"#00360","=#00216"
"#00361","=#00217"
"#00362","=#00218"
"#00363","=#00219"
"#00364","=#00220"
"#00365","=#00221"
"#00366","=#00222"
"#00367","=#00223"
"#00368","=#00224"
"#00369","=#00225"
"#00370","=#00226"
"#00371","=#00227"
"#00372","=#00228"
"#00373","=#00229"
"#00374","=#00230"
"#00375","=#00231"
"#00376","=#00232"
"#00377","=#00233"
"#00378","=#00234"
"#00379","=#00235"
"#00380","=#00236"
"#00381","=#00237"
"#00382","=#00238"
"#00383","=#00239"
"#00384","=#00240"
"#00385","=#00241"
"#00386","=#00242"
"#00387","=#00243"
"#00388","=#00244"
"#00389","=#00245"
"#00390","=#00246"
"#00391","=#00247"
"#00392","=#00248"
"#00393","=#00249"
"#00394","=#00250"
"#00395","=#00251"
"#00396","=#00252"
"#00397","=#00253"
"#00398","=#00254"
"#00399","=#00255"
"#00400","=#00256"
"#00401","=#00257"
"#00402","=#00258"
"#00403","=#00259"
"#00404","=#00260"
"#00405","=#00261"
"#00406","=#00262"
"#00407","=#00263"
"#00408","=#00264"
"#00409","=#00265"
"#00410","=#00266"
"#00411","=#00267"
"#00412","=#00268"
"#00413","=#00269"
"#00414","=#00270"
"#00415","=#00271"
"#00416","=#00272"
"#00417","=#00273"
"#00418","=#00274"
"#00419","=#00275"
"#00420","=#00276"
"#00421","=#00277"
"#00422","=#00278"
"#00423","=#00279"
"#00424","=#00280"
"#00425","=#00281"
"#00426","=#00282"
"#00427","=#00283"
"#00428","=#00284"
"#00429","=#00285"
"#00430","=#00286"
"#00431","=#00287"
"#00432","=#00288"
"#00433","=#00289"
"#00434","=#00290"
"#00435","=#00291"
"#00436","=#00292"
"#00437","=#00293"
"#00438","=#00294"
"#00439","=#00295"
"#00440","=#00296"
"#00441","=#00297"
"#00442","=#00298"
"#00443","=#00299"
"#00444","=#00300"
"#00445","=#00301"
"#00446","=#00302"
"#00447","=#00303"
"#00448","=#00304"
"#00449","=#00305"
"#00450","test"
"#00451","ED_1"
"#00452","=MID(#00451,1,-1)&'2'"
"# 00453", "<co = 0064ff> Piscine extérieure"
"# 00455", "= # 00450"
"# 00456", "= # 00450"
"# 00457", "= # 00450"
"# 00458", "= # 00450"
"# 00459", "xxx"
"# 00460", "<0> <br> a été développé!"
"# 00461", "= # 00459"
"# 00462", "Exigences du parc <co = 0070c0> 1 étoile </co> supprimées!"
"# 00463", "Exigences du parc <co = 0070c0> 2 étoiles </co> satisfaites!"
"# 00464", "Exigences du parc <co = 0070c0> 3 étoiles </co> supprimées!"
"# 00465", "Exigences du parc <co = 0070c0> 4 étoiles </co> satisfaites!"
"# 00466", "Exigences du parc <co = 0070c0> 5 étoiles </co> supprimées!"
"# 00467", "Vous avez réussi le test <br> <co=0070c0><0> </co>!"
"# 00468", "Vous avez échoué le <br> <co=0070c0><0> </co>."
"# 00469", "Démarrage de <br> <co=0070c0><0> </co>!"
"# 00470", "Un <co = 0070c0> toboggan aquatique </co> a été construit dans <br> <0>!"
"# 00471", "Passer le test de certification a amélioré la réputation de votre parc!"
"# 00472", "Le classement a amélioré la réputation de votre parc!"
"# 00473", "Vous avez <co = 0070c0> 1000 </co> visiteurs!"
"# 00474", "Vous avez <co = 0070c0> 10 000 </co> visiteurs!"
"# 00475", "Vous avez <co = 0070c0> 100 000 </co> visiteurs!"
"# 00476", "Vous êtes parmi les meilleurs <co = 0070c0> 100 </co>!"
"# 00477", "Vous êtes parmi les meilleurs <co = 0070c0> 10 </co>!"
"# 00478", "Vous <co = 0070c0> en tête </co> du classement de la piscine!"
"# 00479", "face_m000"
"# 00480", "= MID (# 00479,1, -3) & '001'"
"# 00481", "= MID (# 00479,1, -3) & '002'"
"# 00482", "= MID (# 00479,1, -3) & '003'"
"# 00483", "= MID (# 00479,1, -3) & '004'"
"# 00484", "= MID (# 00479,1, -3) & '005'"
"# 00485", "= MID (# 00479,1, -3) & '100'"
"# 00486", "= MID (# 00479,1, -3) & '101'"
"# 00487", "= MID (# 00479,1, -3) & '102'"
"# 00488", "= MID (# 00479,1, -3) & '103'"
"# 00489", "= MID (# 00479,1, -3) & '104'"
"# 00490", "= MID (# 00479,1, -3) & '105'"
"# 00491", "= MID (# 00479,1, -3) & '106'"
"# 00492", "= MID (# 00479,1, -3) & '107'"
"# 00493", "= MID (# 00479,1, -3) & '108'"
"# 00494", "= MID (# 00479,1, -3) & '109'"
"# 00495", "= MID (# 00479,1, -3) & '110'"
"# 00496", "= MID (# 00479,1, -3) & '200'"
"# 00497", "= MID (# 00479,1, -3) & '201'"
"# 00498", "= MID (# 00479,1, -3) & '202'"
"# 00499", "= MID (# 00479,1, -3) & '203'"
"# 00500", "= MID (# 00479,1, -3) & '204'"
"# 00501", "= MID (# 00479,1, -3) & '205'"
"# 00502", "= MID (# 00479,1, -3) & '206'"
"# 00503", "= MID (# 00479,1, -3) & '207'"
"# 00504", "= MID (# 00479,1, -3) & '208'"
"# 00505", "= MID (# 00479,1, -3) & '209'"
"# 00506", "= MID (# 00479,1, -3) & '300'"
"# 00507", "= MID (# 00479,1, -3) & '301'"
"# 00508", "= MID (# 00479,1, -3) & '302'"
"# 00509", "= MID (# 00479,1, -3) & '303'"
"# 00510", "= MID (# 00479,1, -3) & '304'"
"# 00511", "face_w000"
"# 00512", "= MID (# 00511,1, -3) & '001'"
"# 00513", "= MID (# 00511,1, -3) & '002'"
"# 00514", "= MID (# 00511,1, -3) & '003'"
"# 00515", "= MID (# 00511,1, -3) & '004'"
"# 00516", "= MID (# 00511,1, -3) & '100'"
"# 00517", "= MID (# 00511,1, -3) & '101'"
"# 00518", "= MID (# 00511,1, -3) & '102'"
"# 00519", "= MID (# 00511,1, -3) & '103'"
"# 00520", "= MID (# 00511,1, -3) & '104'"
"# 00521", "= MID (# 00511,1, -3) & '105'"
"# 00522", "= MID (# 00511,1, -3) & '106'"
"# 00523", "= MID (# 00511,1, -3) & '107'"
"# 00524", "= MID (# 00511,1, -3) & '108'"
"# 00525", "= MID (# 00511,1, -3) & '109'"
"# 00526", "= MID (# 00511,1, -3) & '110'"
"# 00527", "= MID (# 00511,1, -3) & '200'"
"# 00528", "= MID (# 00511,1, -3) & '201'"
"# 00529", "= MID (# 00511,1, -3) & '202'"
"# 00530", "= MID (# 00511,1, -3) & '203'"
"# 00531", "= MID (# 00511,1, -3) & '204'"
"# 00532", "= MID (# 00511,1, -3) & '205'"
"# 00533", "= MID (# 00511,1, -3) & '206'"
"# 00534", "= MID (# 00511,1, -3) & '207'"
"# 00535", "= MID (# 00511,1, -3) & '208'"
"# 00536", "= MID (# 00511,1, -3) & '209'"
"# 00537", "= MID (# 00511,1, -3) & '300'"
"# 00538", "= MID (# 00511,1, -3) & '301'"
"# 00539", "= MID (# 00511,1, -3) & '302'"
"# 00540", "= MID (# 00511,1, -3) & '303'"
"# 00541", "= MID (# 00511,1, -3) & '304'"
"# 00542", "face_k000"
"# 00543", "= MID (# 00542,1, -3) & '001'"
"# 00544", "= MID (# 00542,1, -3) & '002'"
"# 00545", "= MID (# 00542,1, -3) & '003'"
"# 00546", "= MID (# 00542,1, -3) & '004'"
"# 00547", "= MID (# 00542,1, -3) & '005'"
"# 00548", "= MID (# 00542,1, -3) & '006'"
"# 00549", "= MID (# 00542,1, -3) & '007'"
"# 00550", "Rose"
"# 00551", "Se démarque."
"# 00552", "Bleu"
"# 00553", "Une simple chambre à air."
"# 00554", "Orange"
"# 00555", "Un choix populaire."
"# 00556", "Rouge rayé"
"# 00557", "Style très courant."
"# 00558", "= # 00215"
"# 00559", "Vous donne des fringales."
"# 00560", "Duckie"
"# 00561", "Assez mignon."
"# 00562", "Flamant rose"
"# 00563", "Fabuleux."
"# 00564", "Oreilles d'ours"
"# 00565", "La meilleure partie de tout ours."
"# 00566", "Poney"
"# 00567", "Giddy-up!"
"# 00568", "Sea Orca"
"# 00569", "Flotteur d'orque bleu cobalt."
"# 00570", "Rivière Orca"
"# 00571", "Pas vraiment une chose."
"# 00572", "Orca rêveuse"
"# 00573", "Pourquoi les orques ne devraient-elles pas être roses?"
"# 00574", "Banane"
"# 00575", "Un incontournable."
"# 00576", "Pastèque"
"# 00577", "Un favori de l'été."
"# 00578", "Pizza"
"# 00579", "Qui n'aime pas la pizza?"
"# 00580", "Coquillage"
"# 00581", "Sentez-vous comme Vénus dessus."
"# 00582", "Kairobot"
"# 00583", "Laissez Kairobot vous porter doucement."
"# 00584", "Kayak"
"# 00585", "Pagayez à l'aventure."
"# 00586", "Hamac"
"# 00587", "Très confortable. Ne vous endormez pas."
"# 00588", "Voyageur du temps"
"# 00589", "On dirait un peu une machine à remonter le temps."
"# 00590", "Flotteur de natation"
"# 00591", "Idéal pour apprendre à nager."
"# 00592", "Kiddie"
"# 00593", "Je veux une grande piscine pour nager!"
"# 00594", "Je veux une piscine plus grande!"
"# 00595", "Fais-moi une piscine géante, s'il te plaît!"
"# 00596", "Art Master"
"# 00597", "Les piscines de couleur orange sont juste dans ma ruelle."
"# 00598", "J'ai envie d'un popsicle."
"# 00599", "Je voudrais une glace au chocolat à la menthe
"# 00600", "Illustrator"
"# 00601", "La natation me donne faim ... de crêpes!"
"# 00602", "Je veux flotter doucement dans une chambre à air élégante!"
"# 00603", "Le sauna se sentirait vraiment bien après la baignade!"
"# 00604", "Brat"
"# 00605", "Vous avez du cola?"
"# 00606", "Les piscines vertes sont cool, c'est comme des marais!"
"# 00607", "Les toboggans normaux font honte! Je veux un toboggan aquatique!"
"# 00608", "Femme au foyer"
"# 00609", "Assez de corvées! Je veux me détendre au bord de la piscine."
"# 00610", "Je rêve d'un toboggan qui ressemble à un château!"
"# 00611", "Je veux me rafraîchir dans un igloo!"
"# 00612", "Hélicoptère maman"
"# 00613", "Votre piscine a besoin de plus de verdure autour d'elle."
"# 00614", "Vous avez 1 000 visiteurs!"
"# 00615", "Rich Lady"
"# 00616", "Je préfère les piscines qui ne sont ni trop chaudes ni trop froides."
"# 00617", "Les parasols jaunes sont mes préférés."
"# 00618", "J'aimerais beaucoup une chambre à air canard."
"# 00619", "Ping-Ponger"
"# 00620", "Je veux aller me baigner dans une piscine rouge rubis!"
"# 00621", "J'aurais aimé avoir une chambre à air canard."
"# 00622", "Les piscines avec des carreaux de sable de plage sont les meilleures."
"# 00623", "Lapin Keeper"
"# 00624", "Je déteste le chlore. Faites une piscine avec un parfum fruité!"
"# 00625", "J'aime les piscines avec des carreaux jaunes."
"# 00626", "Veuillez me procurer une chambre à air en forme de beignet!"
"# 00627", "Conseiller étudiant"
"# 00628", "J'ai oublié mon maillot de bain d'uniforme scolaire!"
"# 00629", "Je veux nager dans une piscine qui ressemble à une plage tropicale!"
"# 00630", "Je veux essayer un toboggan aquatique à 3 niveaux!"
"# 00631", "Doctorant"
"# 00632", "Tellement somnolent ... J'ai besoin de cola pour le secouer!"
"# 00633", "Je dors à moitié ... Vous avez une piscine qui me réveillerait complètement?"
"# 00634", "J'aimerais faire une sieste sur un canapé en vinyle bleu ..."
"# 00635", "Lycéen"
"# 00636", "Je suis d'humeur pour un corn dog!"
"# 00637", "Vous avez des chaises en bois blanches dans votre parc?"
"# 00638", "Baseball Kid"
"# 00639", "Certains détestent l'eau froide mais j'adore ça!"
"# 00640", "En fait, je veux essayer une piscine vraiment chaude!"
"# 00641", "Je veux un flotteur d'orque bleu!"
"# 00642", "Vice-principal"
"# 00643", "J'aime les parcs aquatiques qui ressemblent à de véritables complexes hôteliers."
"# 00644", "Je veux de grosses nouilles grasses. La nourriture réconfortante par excellence!"
"# 00645", "J'ai besoin d'une piscine digne de prendre des photos à partager en ligne."
"# 00646", "Fille rêveuse"
"# 00647", "Je veux une pomme!"
"# 00648", "Donnez-moi un flotteur sur le thème des animaux, s'il vous plaît?"
"# 00649", "Une chambre à air flamingo me rendrait si heureux! Un indice, un indice!"
"# 00650", "Danseur"
"# 00651", "J'ai lu que le violet est ma couleur porte-bonheur. Y a-t-il des piscines violettes?"
"# 00652", "J'ai la petite faim pour un pot chaud."
"# 00653", "Les piscines en tuiles de bois sont élégantes, à mon avis."
"# 00654", "Trompettiste"
"# 00655", "Je voudrais flotter dans une piscine jaune."
"# 00656", "Je pourrais aller chercher un bol de ramen."
"# 00657", "J'ai besoin de manger plus de fruits. Puis-je avoir une pêche?"
"# 00658", "Bûcheron"
"# 00659", "Mon estomac grogne. Je veux une boule de riz!"
"# 00660", "Si seulement cet endroit était plus boisé."
"# 00661", "J'aime les shio ramen."
"# 00662", "Fleuriste"
"# 00663", "Avez-vous une piscine ensoleillée avec une sensation fleurie?"
"# 00664", "Je veux être enveloppé d'un parfum fleuri!"
"# 00665", "Je veux nager dans une eau claire, avec des fleurs tout autour."
"# 00666", "Bunbun"
"# 00667", "Je veux me désintoxiquer dans un sauna."
"# 00668", "Je veux une orange, s'il vous plaît!"
"# 00669", "J'ai envie de châtaignes."
"# 00670", "Kappappa"
"# 00671", "Une piscine à l'ambiance marine, maintenant ce serait quelque chose."
"# 00672", "Les kiwis sont délicieux. Les fruits, pas les oiseaux!"
"# 00673", "Calmars frits ... Oh mon Dieu, je bave!"
«# 00674», «Grizzly Bearington»
"# 00675", "J'ai tellement faim que je pourrais manger un cheval! Mais le curry avec du riz fera l'affaire."
"# 00676", "Vous avez des boulettes de riz au saumon?"
"# 00677", "J'ai terriblement faim. Je veux de la viande avec os à croquer!"
"# 00678", "Cheeky Brat"
"# 00679", "Je veux m'asseoir sur une chaise en bois!"
"# 00680", "Donne-moi un maillot de bain astro!"
"# 00681", "Vous avez des chaises blanches confortables?"
"# 00682", "Éditeur de films"
"# 00683", "Quelqu'un m'apporte des beignets de poulpe!"
"# 00684", "Je suis intéressé par les pools avec beaucoup de likes sur les réseaux sociaux."
"# 00685", "J'aimerais un pantalon fleuri fabuleux."
"# 00686", "Vendeur de boîtes à lunch"
"# 00687", "Je pourrais aller chercher un kebab."
"# 00688", "Je veux nager mais je détesterais avoir un coup de soleil!"
"# 00689", "Avez-vous des boulettes de riz frites dans votre parc aquatique?"
"# 00690", "Marchand de légumes"
"# 00691", "Je veux une piscine qui vous rappelle le raisin."
"# 00692", "Avez-vous un bar à salade?"
